itemid,year
ca_m_3412028_sw_10_1_20140926_20150115,2014
ca_m_3412027_se_10_1_20140926_20150115,2014
ca_m_3412027_ne_10_1_20140926_20150115,2014
ca_m_3412020_sw_10_1_20140926_20150115,2014
ca_m_3412020_nw_10_1_20140926_20150115,2014
ca_m_3412019_se_10_1_20140926_20150115,2014
ca_m_3412019_ne_10_1_20140926_20150115,2014
ca_m_3412012_sw_10_1_20140926_20150115,2014
ca_m_3412012_nw_10_1_20140926_20150115,2014
ca_m_3412011_se_10_1_20140926_20150115,2014
ca_m_3412011_ne_10_1_20140926_20150115,2014
ca_m_3412004_sw_10_1_20140926_20150115,2014
ca_m_3412003_se_10_1_20140926_20150115,2014
ca_m_3412003_ne_10_1_20140926_20141030,2014
ca_m_3412028_se_10_1_20140924_20150115,2014
ca_m_3411936_se_11_1_20140901_20141030,2014
ca_m_3411936_sw_11_1_20140817_20141030,2014
ca_m_3411935_se_11_1_20140817_20141030,2014
ca_m_3412039_nw_10_1_20140603_20141030,2014
ca_m_3412039_ne_10_1_20140603_20141030,2014
ca_m_3412038_nw_10_1_20140603_20141030,2014
ca_m_3412038_ne_10_1_20140603_20141030,2014
ca_m_3412037_nw_10_1_20140603_20141030,2014
ca_m_3412037_ne_10_1_20140603_20141030,2014
ca_m_3412029_sw_10_1_20140603_20150115,2014
ca_m_3411933_sw_11_1_20140603_20141030,2014
ca_m_3411945_nw_11_1_20140602_20141030,2014
ca_m_3411937_sw_11_1_20140602_20141030,2014
ca_m_3412040_nw_10_1_20140601_20141030,2014
ca_m_3412040_ne_10_1_20140601_20141030,2014
ca_m_3411935_sw_11_1_20140601_20141030,2014
ca_m_3411934_sw_11_1_20140601_20141030,2014
ca_m_3411934_se_11_1_20140601_20141030,2014
ca_m_3411933_se_11_1_20140601_20141030,2014
ca_m_3411933_nw_11_1_20140601_20141030,2014
ca_m_3411933_ne_11_1_20140601_20141030,2014